Name*Surname*Surname1*Surname2*Account*Path*Group*DNI*Departament*Enabled*Password*ExpirationAccount*Email*NetTime*Computer
LUIS*NAVARRO RUIZ*NAVARRO*RUIZ*lnavarror*OU=Usuarios,OU=Enfermeria,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Enfermeria*12345678-A*Enfermeria*yes*Temp1234!*30*lnavarror@hospitalgandia.mylocal*L-V,08:00-14:00*W11HFB-001
SUSANA*ALABAU SANCHO*ALABAU*SANCHO*salabaus*OU=Usuarios,OU=Enfermeria,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Enfermeria*12345679-B*Enfermeria*yes*Temp1234!*30*salabaus@hospitalgandia.mylocal*L-V,08:00-14:00*W11HFB-002
PEDRO*GOMIS ZAMBUJO*GOMIS*ZAMBUJO*pgomisz*OU=Usuarios,OU=Enfermeria,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Enfermeria*12345680-C*Enfermeria*yes*Temp1234!*30*pgomisz@hospitalgandia.mylocal*L-V,08:00-14:00*W11HFB-003
PIEDAD*VALENCIA RUIZ*VALENCIA*RUIZ*pvalenciar*OU=Usuarios,OU=Enfermeria,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Enfermeria*12345681-D*Enfermeria*yes*Temp1234!*30*pvalenciar@hospitalgandia.mylocal*L-V,08:00-14:00*W11HFB-004
MANUEL*VARGAS COELLO*VARGAS*COELLO*mvargasc*OU=Usuarios,OU=Enfermeria,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Enfermeria*12345682-E*Enfermeria*yes*Temp1234!*30*mvargasc@hospitalgandia.mylocal*L-V,08:00-14:00*W11HFB-005
JAVIER*ARIAS PUJOL*ARIAS*PUJOL*jariasp*OU=Usuarios,OU=Alergologia,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Alergologia*12345683-F*Alergologia*yes*Temp1234!*30*jariasp@hospitalgandia.mylocal*L-V,08:00-14:00*UDHFB-001
EVA*PELLICER JUAN*PELLICER*JUAN*epellicerj*OU=Usuarios,OU=Alergologia,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Alergologia*12345684-G*Alergologia*yes*Temp1234!*30*epellicerj@hospitalgandia.mylocal*L-V,08:00-14:00*UDHFB-002
RODRIGO*GALLEGO CHAVES*GALLEGO*CHAVES*rgallegoc*OU=Usuarios,OU=Alergologia,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Alergologia*12345685-H*Alergologia*yes*Temp1234!*30*rgallegoc@hospitalgandia.mylocal*L-V,08:00-14:00*UDHFB-003
JOHANN*AGUILAR ALBA*AGUILAR*ALBA*jaguilara*OU=Usuarios,OU=Alergologia,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Alergologia*12345686-I*Alergologia*yes*Temp1234!*30*jaguilara@hospitalgandia.mylocal*L-V,08:00-14:00*UDHFB-004
PEPE*SANCHO CARVALHO*SANCHO*CARVALHO*psanchoc*OU=Usuarios,OU=Alergologia,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Alergologia*12345687-J*Alergologia*yes*Temp1234!*30*psanchoc@hospitalgandia.mylocal*L-V,08:00-14:00*UDHFB-005
SARA*ZAMBUJO CAMPOS*ZAMBUJO*CAMPOS*szambujoc*OU=Usuarios,OU=Informatica,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Informatica*12345688-K*Informatica*yes*Temp1234!*30*szambujoc@hospitalgandia.mylocal*L-V,08:00-14:00*UDHFB-006
ISABEL*RUIZ MONCHO*RUIZ*MONCHO*iruizm*OU=Usuarios,OU=Informatica,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Informatica*12345689-L*Informatica*yes*Temp1234!*30*iruizm@hospitalgandia.mylocal*L-V,08:00-14:00*UDHFB-007
FRANCISCO*COELLO ALABAU*COELLO*ALABAU*fcoelloa*OU=Usuarios,OU=Informatica,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Informatica*12345690-M*Informatica*yes*Temp1234!*30*fcoelloa@hospitalgandia.mylocal*L-V,08:00-14:00*UDHFB-008
BASILIO*PUJOL GOMIS*PUJOL*GOMIS*bpujolg*OU=Usuarios,OU=Informatica,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Informatica*12345691-N*Informatica*yes*Temp1234!*30*bpujolg@hospitalgandia.mylocal*L-V,08:00-14:00*UDHFB-009
MARIO*JUAN VALENCIA*JUAN*VALENCIA*mjuanv*OU=Usuarios,OU=Informatica,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-Informatica*12345692-O*Informatica*yes*Temp1234!*30*mjuanv@hospitalgandia.mylocal*L-V,08:00-14:00*UDHFB-010
IGNACIO*CHAVES VARGAS*CHAVES*VARGAS*ichavesv*OU=Usuarios,OU=CyP,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-CyP*12345693-P*CyP*yes*Temp1234!*30*ichavesv@hospitalgandia.mylocal*L-V,08:00-14:00*W11HFB-006
LAURA*ALBA ARIAS*ALBA*ARIAS*lalbaa*OU=Usuarios,OU=CyP,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-CyP*12345694-Q*CyP*yes*Temp1234!*30*lalbaa@hospitalgandia.mylocal*L-V,08:00-14:00*W11HFB-007
JORGE*CARVALHO PELLICER*CARVALHO*PELLICER*jcarvalhop*OU=Usuarios,OU=CyP,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-CyP*12345695-R*CyP*yes*Temp1234!*30*jcarvalhop@hospitalgandia.mylocal*L-V,08:00-14:00*W11HFB-008
ANTONIO*CAMPOS GALLEGO*CAMPOS*GALLEGO*acamposg*OU=Usuarios,OU=CyP,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-CyP*12345696-S*CyP*yes*Temp1234!*30*acamposg@hospitalgandia.mylocal*L-V,08:00-14:00*W11HFB-009
CLAUDIO*MONCHO AGUILAR*MONCHO*AGUILAR*cmonchoa*OU=Usuarios,OU=CyP,DC=HospitaFrancescBorjaDeGandia,DC=mylocal*SI-GG-CyP*12345697-T*CyP*yes*Temp1234!*30*cmonchoa@hospitalgandia.mylocal*L-V,08:00-14:00*W11HFB-010
